Bandleader,Orchestra,Date,Title,AltTitle,Genre,Singer,Label,Master,Matrix,Disc,Composer,Author,Arranger,Grouping,Pianist,Bassist,Bandoneons,Strings,Lineup,Img_Type,Img_Folder,Img_Side,Img_Album
Edgardo Donato,Edgardo Donato y Sus Muchachos,1930,Rayo de Luz,,Vals,Luis Díaz,Brunswick,78rpm,801,1032-A,Mateo Coppola,Delmira Zinola,,30-33 Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez, Ascanio Donato (Cello)","Piano, Bass, 3 Bandoneons, 3 Violins, Cello",,,,
Edgardo Donato,Edgardo Donato y Sus Muchachos,1931,Palabras Falsas,,Tango,Luis Diaz,Brunswick,78rpm,BA1035,41316,,"Manuel Aguilar, Luis Fernández",,30-33 Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez, Ascanio Donato (Cello)","Piano, Bass, 3 Bandoneons, 3 Violins, Cello",,,,
Edgardo Donato,Edgardo Donato y Sus Muchachos,1931,Desertora,,Tango,Luis Diaz,Brunswick,78rpm,BA1059,41342,,"Edgardo Donato, Roberto Barboza",,30-33 Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez, Ascanio Donato (Cello)","Piano, Bass, 3 Bandoneons, 3 Violins, Cello",,,,
Edgardo Donato,Edgardo Donato y Sus Muchachos,1931,"Mamita, Perdon",,Tango,,Brunswick,78rpm,BA1095,41316,Julio Villamonte,,,30-33 Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez, Ascanio Donato (Cello)","Piano, Bass, 3 Bandoneons, 3 Violins, Cello",,,,
Edgardo Donato,Edgardo Donato y Sus Muchachos,1931,El Barrio Murmura,,Tango,Luis Diaz,Brunswick,78rpm,BA1155,41358,,"Luis Díaz, Carlos Enrique",,30-33 Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez, Ascanio Donato (Cello)","Piano, Bass, 3 Bandoneons, 3 Violins, Cello",,,,
Edgardo Donato,Edgardo Donato y Sus Muchachos,1931,Algun Día,,Tango,Instrumental,Brunswick,78rpm,1337,1051-A,Armando Piovani,,,30-33 Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez, Ascanio Donato (Cello)","Piano, Bass, 3 Bandoneons, 3 Violins, Cello",,,,
Edgardo Donato,Edgardo Donato y Sus Muchachos,1931,Chau-Chau,,Tango,Luis Díaz,Brunswick,78rpm,1317,1052-A,Adolfo Piansino,N. Collia,,30-33 Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez, Ascanio Donato (Cello)","Piano, Bass, 3 Bandoneons, 3 Violins, Cello",,,,
Edgardo Donato,Edgardo Donato y Sus Muchachos,1931,Fascinacion,,Tango,Instrumental,Brunswick,78rpm,1387,1053-A,C. Bossola,,,30-33 Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez, Ascanio Donato (Cello)","Piano, Bass, 3 Bandoneons, 3 Violins, Cello",,,,
Edgardo Donato,Edgardo Donato y Sus Muchachos,1931,Hacia la Cumbre,,Vals,Instrumental,Brunswick,78rpm,1335,1052-B,Américo Bonani,,,30-33 Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez, Ascanio Donato (Cello)","Piano, Bass, 3 Bandoneons, 3 Violins, Cello",,,,
Edgardo Donato,Edgardo Donato y Sus Muchachos,1931,La Madrecita,,Tango,Luis Díaz,Brunswick,78rpm,1478,1056-A,Genaro Gatto,Juan Leal,,30-33 Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez, Ascanio Donato (Cello)","Piano, Bass, 3 Bandoneons, 3 Violins, Cello",,,,
Edgardo Donato,Edgardo Donato y Sus Muchachos,1931,La Pena de un Desencanto,,Vals,Instrumental,Brunswick,78rpm,1438,1055-B,Juan (H),,,30-33 Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez, Ascanio Donato (Cello)","Piano, Bass, 3 Bandoneons, 3 Violins, Cello",,,,
Edgardo Donato,Edgardo Donato y Sus Muchachos,1931,La Que No Volvio,,Tango,Luis Díaz,Brunswick,78rpm,1409,1056-B,H. Corno,,,30-33 Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez, Ascanio Donato (Cello)","Piano, Bass, 3 Bandoneons, 3 Violins, Cello",,,,
Edgardo Donato,Edgardo Donato y Sus Muchachos,1931,Lunes,,Tango,Luis Díaz,Brunswick,78rpm,1679,1064-B,José Padula,Francisco Jiménez,,30-33 Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez, Ascanio Donato (Cello)","Piano, Bass, 3 Bandoneons, 3 Violins, Cello",,,,
Edgardo Donato,Edgardo Donato y Sus Muchachos,1931,"Ni Te Perdono, Ni Te Olvido",,Tango,Luis Díaz,Brunswick,78rpm,1472,1055-A,Edgardo Donato,Antonio Podestá,,30-33 Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez, Ascanio Donato (Cello)","Piano, Bass, 3 Bandoneons, 3 Violins, Cello",,,,
Edgardo Donato,Edgardo Donato y Sus Muchachos,1931,No Es Pa'tanto,,Tango,Luis Díaz,Brunswick,78rpm,1286,1049-A,Edgardo Donato,Máximo Vago,,30-33 Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez, Ascanio Donato (Cello)","Piano, Bass, 3 Bandoneons, 3 Violins, Cello",,,,
Edgardo Donato,Edgardo Donato y Sus Muchachos,1931,Noche Tragica,,Tango,Luis Díaz,Brunswick,78rpm,1390,1054-A,Alberto Huergo,Sergio Sosa,,30-33 Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez, Ascanio Donato (Cello)","Piano, Bass, 3 Bandoneons, 3 Violins, Cello",,,,
Edgardo Donato,Edgardo Donato y Sus Muchachos,1931,Pego la Güelta el Gaucho,,Vals,Teófilo Ibáñez,Brunswick,78rpm,1941,1072-A,Edgardo Donato,Alfredo Bigeschi,,30-33 Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez, Ascanio Donato (Cello)","Piano, Bass, 3 Bandoneons, 3 Violins, Cello",,,,
Edgardo Donato,Edgardo Donato y Sus Muchachos,1931,Pianta Andaluz,,Pasodoble,Instrumental,Brunswick,78rpm,1580,INEDITA,José Di Clemente,,,30-33 Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez, Ascanio Donato (Cello)","Piano, Bass, 3 Bandoneons, 3 Violins, Cello",,,,
Edgardo Donato,Edgardo Donato y Sus Muchachos,1931,Rosas Blancas,,Tango,Luis Díaz,Brunswick,78rpm,1402,1054-B,Carlos Rivarola,Francisco Canosa,,30-33 Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez, Ascanio Donato (Cello)","Piano, Bass, 3 Bandoneons, 3 Violins, Cello",,,,
Edgardo Donato,Edgardo Donato y Sus Muchachos,1931,Siempre Amigo,,Tango,Instrumental,Brunswick,78rpm,1288,1049-B,Juan Carrasco,,,30-33 Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez, Ascanio Donato (Cello)","Piano, Bass, 3 Bandoneons, 3 Violins, Cello",,,,
Edgardo Donato,Edgardo Donato y Sus Muchachos,1931,Taco Largo,,Tango,Teófilo Ibáñez,Brunswick,78rpm,2085,1076-A,Rafael Bulfy,Nicolás Trimani,,30-33 Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez, Ascanio Donato (Cello)","Piano, Bass, 3 Bandoneons, 3 Violins, Cello",,,,
Edgardo Donato,Edgardo Donato y Sus Muchachos,1931,Yo Tan Solo 20 Años Tenia,,Vals,Instrumental,Brunswick,78rpm,2296,1079-B,Julio Sanders,Enrique Cadícamo,,30-33 Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez, Ascanio Donato (Cello)","Piano, Bass, 3 Bandoneons, 3 Violins, Cello",,,,
Edgardo Donato,Edgardo Donato y Sus Muchachos,1932,Evocación,,Tango,Instrumental,Brunswick,78rpm,2547,MUESTRA,Edgardo Donato,,,30-33 Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez, Ascanio Donato (Cello)","Piano, Bass, 3 Bandoneons, 3 Violins, Cello",,,,
Edgardo Donato,Edgardo Donato y Sus Muchachos,1932,Mariposa Inquieta,,Vals,Teófilo Ibáñez,Brunswick,78rpm,2423,1083-B,A. Casas,Ismael Aguilar,,30-33 Sus Muchachos,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano","Edgardo Donato, Armando Piovani, Pascual Martínez, Ascanio Donato (Cello)","Piano, Bass, 3 Bandoneons, 3 Violins, Cello",,,,
Edgardo Donato,Edgardo Donato y Sus Muchachos,1940,Estrellita Mia,,Vals,Morales-Lagos-Gavioli,Víctor,78rpm,039516,39103,,,,34-42 Bertolin Accordian,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita, Ascanio Donato (Cello)","Piano, Bass, 3 Bandoneons, 4 Violins, Accordian, Cello",,,,
Edgardo Donato,Edgardo Donato y Sus Muchachos,1941,Fue Mi Salvacion,,Tango,Roberto Morel,Víctor,78rpm,039649,39150,Ascanio Donato,Alberto Cosentino,,34-42 Bertolin Accordian,Osvaldo Donato,José Campesi,"Juan Turturiello, Vicente Vilardi, Miguel Bonano, Osvaldo Bertolín (accordian)","Edgardo Donato, Domingo Milillo, Armando Piovani, José Pollicita, Ascanio Donato (Cello)","Piano, Bass, 3 Bandoneons, 4 Violins, Accordian, Cello",,,,
Edgardo Donato,Edgardo Donato y su Moderna Orquesta Típica,1945,Demasiado Tarde,,Tango,Roberto Beltrán,Víctor,78rpm,,,Francisco Tróppoli,Agustín Delamónica,,44-61 Post Breakup,Bernardo Blas,UNKNOWN,"Ernesto Rossi, Julián Plaza, UNKNOWN","Rolando Curzel, UNKNOWN","Piano, Bass, 3 Bandoneons, 2 Violins",,,,
Edgardo Donato,Edgardo Donato y su Orquesta Típica,1945,Sin Palabras,,Tango,Osvaldo Morel,Víctor,78rpm,,,Mariano Mores,Enrique Discépolo,,44-61 Post Breakup,Bernardo Blas,UNKNOWN,"Ernesto Rossi, Julián Plaza, UNKNOWN","Rolando Curzel, UNKNOWN","Piano, Bass, 3 Bandoneons, 2 Violins",,,,
Edgardo Donato,Edgardo Donato y su Orquesta Típica,1945,Una Vez,,Tango,Osvaldo Morel,Víctor,78rpm,,,Osvaldo Pugliese,Cátulo Castillo,,44-61 Post Breakup,Bernardo Blas,UNKNOWN,"Ernesto Rossi, Julián Plaza, UNKNOWN","Rolando Curzel, UNKNOWN","Piano, Bass, 3 Bandoneons, 2 Violins",,,,
Edgardo Donato,Donato-Zerrillo,8/2/1929,Amor y Olvido,,Tango,Instrumental,Brunswick,78rpm,1002,1002-B,Ángel Carreño,Ángel Carreño,,29-30 Zerrillo,Osvaldo Donato,José Campesi,"Juan Turturiello, Luis Vilardi, Luis Brizzi","Edgardo Donato, Roberto Zerrillo, Armando Piovani, Ascanio Donato (Cello)","Piano, Bass, 3 Bandoneons, 3 Violins, Cello",,,,
Edgardo Donato,Donato-Zerrillo,8/2/1929,Luces de la Tarde,,Tango,Instrumental,Brunswick,78rpm,1002,1009-B,Osvaldo Donato,Berreta Galli,,29-30 Zerrillo,Osvaldo Donato,José Campesi,"Juan Turturiello, Luis Vilardi, Luis Brizzi","Edgardo Donato, Roberto Zerrillo, Armando Piovani, Ascanio Donato (Cello)","Piano, Bass, 3 Bandoneons, 3 Violins, Cello",,,,
Edgardo Donato,Donato-Zerrillo,8/2/1929,No Me Engañes Por Favor,,Tango,Instrumental,Brunswick,78rpm,1001,1001-B,José Turturiello,,,29-30 Zerrillo,Osvaldo Donato,José Campesi,"Juan Turturiello, Luis Vilardi, Luis Brizzi","Edgardo Donato, Roberto Zerrillo, Armando Piovani, Ascanio Donato (Cello)","Piano, Bass, 3 Bandoneons, 3 Violins, Cello",,,,
Edgardo Donato,Donato-Zerrillo,8/2/1929,Seguí No Te Parés,,Tango,Luis Díaz,Brunswick,78rpm,1001,1009-A,"Edgardo Donato, Roberto Zerrillo",Luis Díaz,,29-30 Zerrillo,Osvaldo Donato,José Campesi,"Juan Turturiello, Luis Vilardi, Luis Brizzi","Edgardo Donato, Roberto Zerrillo, Armando Piovani, Ascanio Donato (Cello)","Piano, Bass, 3 Bandoneons, 3 Violins, Cello",,,,
Edgardo Donato,Donato-Zerrillo,9/7/1929,Desencanto,,Tango,Instrumental,Brunswick,78rpm,1003,1004-A,Antonio Polito,"Antonio Polito, Luis Mario",,29-30 Zerrillo,Osvaldo Donato,José Campesi,"Juan Turturiello, Luis Vilardi, Luis Brizzi","Edgardo Donato, Roberto Zerrillo, Armando Piovani, Ascanio Donato (Cello)","Piano, Bass, 3 Bandoneons, 3 Violins, Cello",,,,
Edgardo Donato,Donato-Zerrillo,9/7/1929,Dolores,,Vals,Instrumental,Brunswick,78rpm,1003,1003-A,Alfredo Marengo,,,29-30 Zerrillo,Osvaldo Donato,José Campesi,"Juan Turturiello, Luis Vilardi, Luis Brizzi","Edgardo Donato, Roberto Zerrillo, Armando Piovani, Ascanio Donato (Cello)","Piano, Bass, 3 Bandoneons, 3 Violins, Cello",,,,
Edgardo Donato,Donato-Zerrillo,9/19/1929,La Cumparsita,Si Supieras,Tango,Agustín Magaldi,Brunswick,78rpm,2(30 CTMS.,0001/2 A,Gerardo Rodríguez,"Pascual Contursi, Enrique Maroni",,29-30 Zerrillo,Osvaldo Donato,José Campesi,"Juan Turturiello, Luis Vilardi, Luis Brizzi","Edgardo Donato, Roberto Zerrillo, Armando Piovani, Ascanio Donato (Cello)","Piano, Bass, 3 Bandoneons, 3 Violins, Cello",,,,
Edgardo Donato,Donato-Zerrillo,9/19/1929,Adiós Mujer,,Tango,Instrumental,Brunswick,78rpm,1005,1005-A,Miguel Padula,,,29-30 Zerrillo,Osvaldo Donato,José Campesi,"Juan Turturiello, Luis Vilardi, Luis Brizzi","Edgardo Donato, Roberto Zerrillo, Armando Piovani, Ascanio Donato (Cello)","Piano, Bass, 3 Bandoneons, 3 Violins, Cello",,,,
Edgardo Donato,Donato-Zerrillo,9/19/1929,Pulpero Sirva Otra Vuelta,,Tango,Luis Díaz,Brunswick,78rpm,1005,1005-B,Man Kenn,Man Kenn,,29-30 Zerrillo,Osvaldo Donato,José Campesi,"Juan Turturiello, Luis Vilardi, Luis Brizzi","Edgardo Donato, Roberto Zerrillo, Armando Piovani, Ascanio Donato (Cello)","Piano, Bass, 3 Bandoneons, 3 Violins, Cello",,,,
Edgardo Donato,Donato-Zerrillo,9/19/1929,Sirvame Caña,,Tango,Instrumental,Brunswick,78rpm,1004,1004-B,Agustín Paredes,Gerónimo Gradito,,29-30 Zerrillo,Osvaldo Donato,José Campesi,"Juan Turturiello, Luis Vilardi, Luis Brizzi","Edgardo Donato, Roberto Zerrillo, Armando Piovani, Ascanio Donato (Cello)","Piano, Bass, 3 Bandoneons, 3 Violins, Cello",,,,
Edgardo Donato,Donato-Zerrillo,11/8/1929,De Milonga Corrida,,Tango,Instrumental,Brunswick,78rpm,1008,1008-A,Osvaldo Donato,,,29-30 Zerrillo,Osvaldo Donato,José Campesi,"Juan Turturiello, Luis Vilardi, Luis Brizzi","Edgardo Donato, Roberto Zerrillo, Armando Piovani, Ascanio Donato (Cello)","Piano, Bass, 3 Bandoneons, 3 Violins, Cello",,,,
Edgardo Donato,Donato-Zerrillo,11/8/1929,Pega Pega,,Tango,Con Recitado,Brunswick,78rpm,1008,1008-B,"Rafael Sánchez, Alberto Sánchez",Enrique Cadícamo,,29-30 Zerrillo,Osvaldo Donato,José Campesi,"Juan Turturiello, Luis Vilardi, Luis Brizzi","Edgardo Donato, Roberto Zerrillo, Armando Piovani, Ascanio Donato (Cello)","Piano, Bass, 3 Bandoneons, 3 Violins, Cello",,,,
Edgardo Donato,Donato-Zerrillo,11/20/1929,Luces de la Tarde,,Tango,Luis Díaz,Brunswick,78rpm,1002,1009-B,Osvaldo Donato,Berreta Galli,,29-30 Zerrillo,Osvaldo Donato,José Campesi,"Juan Turturiello, Luis Vilardi, Luis Brizzi","Edgardo Donato, Roberto Zerrillo, Armando Piovani, Ascanio Donato (Cello)","Piano, Bass, 3 Bandoneons, 3 Violins, Cello",,,,
Edgardo Donato,Donato-Zerrillo,11/20/1929,Seguí No Te Parés,,Tango,Luis Díaz,Brunswick,78rpm,1001,1009-A,"Edgardo Donato, Roberto Zerrillo",Luis Díaz,,29-30 Zerrillo,Osvaldo Donato,José Campesi,"Juan Turturiello, Luis Vilardi, Luis Brizzi","Edgardo Donato, Roberto Zerrillo, Armando Piovani, Ascanio Donato (Cello)","Piano, Bass, 3 Bandoneons, 3 Violins, Cello",,,,
Edgardo Donato,Donato-Zerrillo,11/20/1929,Siluetas de la Tarde,,Tango,Instrumental,Brunswick,78rpm,1007,1007-A,Ángel Carreño,,,29-30 Zerrillo,Osvaldo Donato,José Campesi,"Juan Turturiello, Luis Vilardi, Luis Brizzi","Edgardo Donato, Roberto Zerrillo, Armando Piovani, Ascanio Donato (Cello)","Piano, Bass, 3 Bandoneons, 3 Violins, Cello",,,,
Edgardo Donato,Donato-Zerrillo,11/20/1929,Vas a Soñar,,Tango,Luis Díaz,Brunswick,78rpm,1007,1007-B,Antonio Scatasso,Francisco Bastardi,,29-30 Zerrillo,Osvaldo Donato,José Campesi,"Juan Turturiello, Luis Vilardi, Luis Brizzi","Edgardo Donato, Roberto Zerrillo, Armando Piovani, Ascanio Donato (Cello)","Piano, Bass, 3 Bandoneons, 3 Violins, Cello",,,,
Edgardo Donato,Donato-Zerrillo,11/27/1929,La Cumparsita,Si Supieras,Tango,Agustín Magaldi,Brunswick,78rpm,209,0001/2 A,Gerardo Rodríguez,"Pascual Contursi, Enrique Maroni",,29-30 Zerrillo,Osvaldo Donato,José Campesi,"Juan Turturiello, Luis Vilardi, Luis Brizzi","Edgardo Donato, Roberto Zerrillo, Armando Piovani, Ascanio Donato (Cello)","Piano, Bass, 3 Bandoneons, 3 Violins, Cello",,,,
Edgardo Donato,Donato-Zerrillo,12/4/1929,Hasta Cuándo,,Tango,Luis Díaz,Brunswick,78rpm,1010,1010-A,Edgardo Donato,Celedonio Flores,,29-30 Zerrillo,Osvaldo Donato,José Campesi,"Juan Turturiello, Luis Vilardi, Luis Brizzi","Edgardo Donato, Roberto Zerrillo, Armando Piovani, Ascanio Donato (Cello)","Piano, Bass, 3 Bandoneons, 3 Violins, Cello",,,,
Edgardo Donato,Donato-Zerrillo,12/6/1929,Derrotado,,Tango,Instrumental,Brunswick,78rpm,1012,1012-B,Roberto Zerrillo,Roberto Duque,,29-30 Zerrillo,Osvaldo Donato,José Campesi,"Juan Turturiello, Luis Vilardi, Luis Brizzi","Edgardo Donato, Roberto Zerrillo, Armando Piovani, Ascanio Donato (Cello)","Piano, Bass, 3 Bandoneons, 3 Violins, Cello",,,,
Edgardo Donato,Donato-Zerrillo,12/6/1929,Venga Viejo,,Tango,Instrumental,Brunswick,78rpm,1012,1012-A,Ricardo Brignolo,,,29-30 Zerrillo,Osvaldo Donato,José Campesi,"Juan Turturiello, Luis Vilardi, Luis Brizzi","Edgardo Donato, Roberto Zerrillo, Armando Piovani, Ascanio Donato (Cello)","Piano, Bass, 3 Bandoneons, 3 Violins, Cello",,,,
Edgardo Donato,Donato-Zerrillo,12/13/1929,Huerfanitos de la Vida,,Tango,Luis Díaz,Brunswick,78rpm,1011,1011-A,Luis Martino,Andrés Pulido,,29-30 Zerrillo,Osvaldo Donato,José Campesi,"Juan Turturiello, Luis Vilardi, Luis Brizzi","Edgardo Donato, Roberto Zerrillo, Armando Piovani, Ascanio Donato (Cello)","Piano, Bass, 3 Bandoneons, 3 Violins, Cello",,,,
Edgardo Donato,Donato-Zerrillo,12/13/1929,Qué Querés con Ese Loro,,Tango,Luis Díaz,Brunswick,78rpm,1011,1011-B,Enrique Delfino,Manuel Romero,,29-30 Zerrillo,Osvaldo Donato,José Campesi,"Juan Turturiello, Luis Vilardi, Luis Brizzi","Edgardo Donato, Roberto Zerrillo, Armando Piovani, Ascanio Donato (Cello)","Piano, Bass, 3 Bandoneons, 3 Violins, Cello",,,,
Edgardo Donato,Donato-Zerrillo,12/17/1929,Misterio,,Tango,Instrumental,Brunswick,78rpm,1006,1006-A,Román Machado,,,29-30 Zerrillo,Osvaldo Donato,José Campesi,"Juan Turturiello, Luis Vilardi, Luis Brizzi","Edgardo Donato, Roberto Zerrillo, Armando Piovani, Ascanio Donato (Cello)","Piano, Bass, 3 Bandoneons, 3 Violins, Cello",,,,
Edgardo Donato,Donato-Zerrillo,12/28/1929,Yo Quiero Casarme,,Tango,Luis Díaz,Brunswick,78rpm,1013,1013-B,Edgardo Donato,Luis Díaz,,29-30 Zerrillo,Osvaldo Donato,José Campesi,"Juan Turturiello, Luis Vilardi, Luis Brizzi","Edgardo Donato, Roberto Zerrillo, Armando Piovani, Ascanio Donato (Cello)","Piano, Bass, 3 Bandoneons, 3 Violins, Cello",,,,
Edgardo Donato,Donato-Zerrillo,12/28/1929,Zafá de L'amarrazón,,Tango,Instrumental,Brunswick,78rpm,1013,1013-A,Luis Mainero,,,29-30 Zerrillo,Osvaldo Donato,José Campesi,"Juan Turturiello, Luis Vilardi, Luis Brizzi","Edgardo Donato, Roberto Zerrillo, Armando Piovani, Ascanio Donato (Cello)","Piano, Bass, 3 Bandoneons, 3 Violins, Cello",,,,
Edgardo Donato,Donato-Zerrillo,12/30/1929,Garufa Corrida,,Tango,Luis Díaz,Brunswick,78rpm,1015,1015-B,Bernardo Germino,Bernardo Germino,,29-30 Zerrillo,Osvaldo Donato,José Campesi,"Juan Turturiello, Luis Vilardi, Luis Brizzi","Edgardo Donato, Roberto Zerrillo, Armando Piovani, Ascanio Donato (Cello)","Piano, Bass, 3 Bandoneons, 3 Violins, Cello",,,,
Edgardo Donato,Donato-Zerrillo,12/30/1929,Invierno,,Tango,Luis Díaz,Brunswick,78rpm,1015,1015-A,Arturo Bettoni,Ramón Abellá,,29-30 Zerrillo,Osvaldo Donato,José Campesi,"Juan Turturiello, Luis Vilardi, Luis Brizzi","Edgardo Donato, Roberto Zerrillo, Armando Piovani, Ascanio Donato (Cello)","Piano, Bass, 3 Bandoneons, 3 Violins, Cello",,,,
